study_hours_per_week,attendance_percent,previous_grade,absences,internet_access,extracurricular_activity,result
7,89.0,59.0,7,Yes,No,Fail
15,61.0,71.0,17,Yes,Yes,Fail
12,85.0,89.0,9,Yes,Yes,Pass
2,94.0,53.0,19,Yes,No,Fail
2,72.0,89.0,16,No,No,Fail
7,96.0,67.0,7,No,Yes,Pass
15,80.0,85.0,10,Yes,No,Pass
6,60.0,91.0,4,Yes,No,Fail
3,59.0,92.0,12,Yes,No,Fail
9,52.0,63.0,20,Yes,Yes,Fail
10,63.0,54.0,4,Yes,No,Fail
15,65.0,61.0,12,Yes,No,Fail
14,59.0,69.0,5,Yes,No,Pass
13,78.0,43.0,4,Yes,No,Fail
6,59.0,52.0,8,Yes,No,Fail
10,61.0,98.0,15,Yes,No,Pass
10,79.0,62.0,1,Yes,Yes,Pass
6,90.0,47.0,0,Yes,Yes,Fail
1,50.0,57.0,7,Yes,Yes,Fail
4,54.0,51.0,18,Yes,Yes,Fail
10,69.0,94.0,10,No,No,Pass
6,57.0,70.0,11,Yes,No,Fail
15,92.0,53.0,11,Yes,No,Pass
6,61.0,73.0,6,Yes,Yes,Fail
11,50.0,57.0,12,No,No,Fail
12,69.0,95.0,7,Yes,Yes,Pass
5,77.0,73.0,8,Yes,Yes,Fail
1,92.0,50.0,6,No,Yes,Fail
8,86.0,80.0,20,Yes,No,Fail
5,96.0,51.0,14,No,Yes,Fail
12,86.0,88.0,1,No,No,Pass
12,61.0,54.0,19,No,Yes,Fail
12,86.0,96.0,11,Yes,No,Pass
5,98.0,70.0,0,Yes,No,Pass
7,98.0,88.0,7,Yes,No,Pass
4,93.0,97.0,4,Yes,No,Fail
6,77.0,68.0,14,Yes,No,Fail
13,96.0,65.0,0,Yes,No,Pass
4,64.0,57.0,0,Yes,No,Fail
14,55.0,71.0,9,Yes,Yes,Pass
15,93.0,61.0,9,Yes,Yes,Pass
3,69.0,77.0,20,Yes,Yes,Fail
7,99.0,56.0,14,Yes,No,Fail
8,63.0,62.0,16,Yes,No,Fail
4,51.0,63.0,5,Yes,No,Fail
13,58.0,89.0,2,Yes,No,Pass
2,86.0,47.0,12,Yes,Yes,Fail
12,69.0,80.0,15,Yes,No,Pass
10,75.0,45.0,7,Yes,No,Fail
14,78.0,44.0,14,Yes,Yes,Fail
3,50.0,83.0,16,Yes,No,Fail
1,84.0,96.0,16,No,Yes,Fail
8,55.0,68.0,12,Yes,No,Fail
15,86.0,67.0,16,Yes,Yes,Pass
3,54.0,50.0,5,Yes,No,Fail
12,82.0,96.0,16,Yes,No,Pass
10,98.0,40.0,15,Yes,Yes,Fail
7,100.0,82.0,13,Yes,Yes,Pass
10,63.0,58.0,12,Yes,No,Fail
5,61.0,48.0,5,Yes,No,Fail
10,91.0,66.0,2,Yes,No,Pass
5,69.0,73.0,13,Yes,No,Fail
14,99.0,83.0,13,Yes,Yes,Pass
7,73.0,43.0,14,No,No,Fail
15,92.0,75.0,7,Yes,No,Pass
9,83.0,57.0,14,Yes,No,Fail
12,74.0,54.0,12,Yes,Yes,Fail
5,99.0,90.0,16,Yes,No,Pass
1,78.0,52.0,20,Yes,No,Fail
10,88.0,58.0,2,Yes,No,Pass
10,80.0,88.0,5,Yes,No,Pass
1,96.0,45.0,4,Yes,No,Fail
15,92.0,87.0,16,No,No,Pass
2,99.0,95.0,1,Yes,Yes,Pass
14,72.0,51.0,14,No,No,Fail
6,93.0,90.0,4,Yes,Yes,Pass
9,87.0,,19,Yes,Yes,Fail
8,69.0,56.0,5,Yes,Yes,Pass
13,72.0,97.0,5,Yes,No,Pass
5,94.0,62.0,17,No,Yes,Fail
1,65.0,65.0,17,Yes,No,Fail
13,99.0,68.0,3,Yes,No,Pass
7,91.0,72.0,16,Yes,Yes,Fail
15,57.0,99.0,13,Yes,Yes,Pass
5,99.0,66.0,13,Yes,No,Fail
6,70.0,64.0,12,Yes,No,Fail
13,50.0,95.0,6,Yes,Yes,Pass
7,57.0,94.0,11,No,No,Pass
3,78.0,49.0,14,Yes,No,Fail
12,81.0,86.0,18,Yes,Yes,Fail
10,87.0,62.0,10,Yes,No,Fail
3,54.0,60.0,14,Yes,No,Fail
5,96.0,60.0,11,Yes,No,Fail
6,71.0,82.0,2,Yes,Yes,Pass
9,96.0,52.0,16,Yes,No,Fail
13,83.0,76.0,2,Yes,No,Pass
14,50.0,72.0,18,No,Yes,Fail
12,75.0,63.0,19,Yes,No,Fail
5,92.0,83.0,3,Yes,No,Fail
15,59.0,50.0,2,No,No,Pass
1,79.0,56.0,15,No,No,Fail
14,,43.0,11,Yes,Yes,Pass
